"adjective","prop_item_correct","gbooks_freq"
"conspicuous",0.477272727272727,0.066
"conspiring",0.9375,-0.232
"constant",0.742424242424242,-0.147
"constrained",0.666666666666667,0.017
"constructive",0.790697674418605,-0.237
"contained",0.953488372093023,1.33
"contemplative",0.730434782608696,-0.193
"contemptuous",0.756756756756757,-0.175
"contented",0.94,-0.033
"contentious",0.623376623376623,-0.168
"contradictious",0.640449438202247,NA
"contradictory",0.717948717948718,0.017
"contrary",0.425287356321839,1.255
"contrary-minded",0.8125,NA
"controlled",0.492537313432836,-0.207
"controlling",0.860215053763441,-0.204
"controversial",0.469879518072289,0.097
"conventional",0.804123711340206,0.626
"conversational",0.901234567901235,-0.167
"convincing",0.875,0.047
"convivial",0.351851851851852,-0.24
"cool",0.72,-0.175
"cool-headed",0.831168831168831,NA
"cooperative",0.902439024390244,0.053
"coquettish",0.543478260869565,NA
"cordial",0.858823529411765,-0.099
"corrective",0.880952380952381,-0.148
"corrupt",0.873239436619718,0.063
"corruptible",0.894736842105263,NA
"cosmopolitan",0.580246913580247,-0.147
"counselable",0.621951219512195,NA
"courageous",0.938271604938272,-0.111
"courteous",0.965116279069767,-0.127
"courtly",0.783132530120482,-0.194
"covetous",0.822784810126582,-0.234
"cowardly",0.886075949367089,-0.156
"coy",0.644736842105263,-0.236
"crabby",0.765432098765432,NA
"crafty",0.7625,-0.203
"cranky",0.960526315789474,-0.242
"crass",0.830769230769231,-0.243
"craven",0.217948717948718,-0.219
"crazed",0.951807228915663,-0.22
"crazy",0.96078431372549,-0.2
"creative",0.93421052631579,-0.112
"credible",0.833333333333333,-0.088
"credulous",0.5,-0.221
"critical",0.860215053763441,2.484
"crooked",0.875,-0.114
"crotchety",0.556962025316456,NA
"crude",0.485981308411215,0.059
"cruel",0.788235294117647,-0.238
"crusading",0.571428571428571,-0.245
"cryptic",0.858823529411765,-0.223
"cultivated",0.701298701298701,0.21
"cultivating",0.780487804878049,-0.153
"cultured",0.93,-0.131
"cunning",0.650485436893204,-0.009
"curious",0.91578947368421,0.837
"curmudgeonly",0.425287356321839,NA
"cursed",0.58695652173913,-0.035
"curt",0.62,-0.237
"cute",0.910112359550562,-0.141
"cutthroat",0.910112359550562,NA
"cynical",0.142857142857143,-0.139
"daft",0.72,-0.244
"dainty",0.135135135135135,-0.149
"damaging",0.961038961038961,-0.094
"dangerous",0.93939393939394,1.262
"dapper",0.710843373493976,-0.247
"daring",0.91588785046729,-0.245
"dark",0.91358024691358,-0.249
"dastardly",0.625,-0.244
"dauntless",0.741176470588235,-0.238
"dawdling",0.855421686746988,-0.254
"debonair",0.78494623655914,-0.252
"deceitful",0.948979591836735,-0.203
"deceivable",0.699186991869919,NA
"decent",0.581395348837209,-0.254
"deceptive",0.969072164948454,-0.169
"decisive",0.805194805194805,0.125
"decorous",0.550724637681159,-0.234
"dedicated",0.875,-0.253
"deep",0.397260273972603,-0.252
"defenseless",0.958904109589041,-0.231
"defensive",0.804878048780488,-0.244
"deferential",0.417721518987342,-0.231
"defiant",0.973333333333333,-0.164
"definite",0.871794871794872,0.479
"deft",0.546666666666667,-0.231
"degrading",0.973333333333333,-0.152
"dejected",0.769230769230769,-0.213
"deliberate",0.422535211267606,0.127
"deliberative",0.705128205128205,-0.196
"delicate",0.932432432432432,0.514
"delighted",0.919540229885057,-0.25
"delightful",0.911111111111111,-0.253
"delinquent",0.829268292682927,-0.254
"delusional",0.938461538461538,-0.231
"demanding",0.930232558139535,0.157
"demeaning",0.880597014925373,-0.237
"democratic",0.867469879518072,0.735
"demonstrative",0.714285714285714,-0.206
"demure",0.693333333333333,-0.235
